	vj_ins_len
0	85
1	144
2	544
3	834
4	846
5	1052
6	1505
7	1499
8	4868
9	1501
10	2522
11	1323
12	2552
13	641
14	503
15	1234
16	561
17	201
18	37
19	35
20	14
21	7
22	3
23	1
28	1
