	nucl_len
11.0	1
13.0	1
18.0	195
19.0	1
20.0	2
21.0	25
22.0	7
23.0	6
24.0	67
25.0	1
26.0	18
27.0	2851
28.0	94
29.0	71
30.0	9625
31.0	457
32.0	198
33.0	8057
34.0	68
35.0	66
36.0	4089
37.0	68
38.0	19
39.0	789
40.0	42
41.0	10
42.0	235
43.0	16
