	j_del_len
0	5033
1	1595
2	2102
3	5261
4	5554
5	958
6	1613
7	122
8	186
9	33
10	8
11	5
12	1
13	8
14	2
16	2
17	1
18	6
19	1
21	3
22	6
23	1
24	8
25	4
