	j_del_len
0	33396
1	1992
2	2854
3	16504
4	4618
5	1320
6	399
7	155
8	131
9	437
10	26
11	421
12	6
13	35
14	136
16	5
17	8
18	5
19	1
21	5
22	1
23	3
24	7
25	5
26	2
28	2
