	v	d	j	frequency
0	IGHV5-2*01	NA	IGHJ2-5*01	25115
1	IGHV1-3*01	NA	IGHJ2-1*01	12636
2	IGHV4-3*01	NA	IGHJ2-4*01	1716
3	IGHV2-1*01	NA	IGHJ2-1*01	1196
4	IGHV4-3*01	NA	IGHJ2-1*01	1097
5	IGHV2-2*01	NA	IGHJ2-2*01	1016
6	IGHV4-6*01	NA	IGHJ2-1*01	988
7	IGHV4-8*01	NA	IGHJ2-2*01	938
8	IGHV7-1*01	NA	IGHJ2-5*01	937
9	IGHV8-4*01	NA	IGHJ2-4*01	842
10	IGHV1-5*01	NA	IGHJ2-2*01	661
11	IGHV4-8*01	NA	IGHJ2-5*01	587
12	IGHV14-1*01	NA	IGHJ2-1*01	566
13	IGHV8-3*01	NA	IGHJ2-2*01	512
14	IGHV5-1*01	NA	IGHJ2-2*01	460
15	IGHV5-7*01	NA	IGHJ2-1*01	452
16	IGHV4-5*01	NA	IGHJ2-5*01	433
17	IGHV14-1*01	NA	IGHJ2-4*01	428
18	IGHV4-6*01	NA	IGHJ2-5*01	416
19	IGHV4-6*01	NA	IGHJ2-4*01	390
20	IGHV1-2*01	NA	IGHJ2-2*01	368
21	IGHV2-1*01	NA	IGHJ2-4*01	363
22	IGHV7-1*01	NA	IGHJ2-1*01	347
23	IGHV4-8*01	NA	IGHJ2-4*01	341
24	IGHV1-2*01	NA	IGHJ2-1*01	324
25	IGHV14-1*01	NA	IGHJ2-2*01	321
26	IGHV4-1*01	NA	IGHJ2-5*01	320
27	IGHV4-1*01	NA	IGHJ2-1*01	303
28	IGHV13-2*01	NA	IGHJ2-1*01	299
29	IGHV4-8*01	NA	IGHJ2-1*01	282
30	IGHV4-3*01	NA	IGHJ2-5*01	275
31	IGHV4-1*01	NA	IGHJ2-4*01	263
32	IGHV8-2*01	NA	IGHJ2-5*01	255
33	IGHV1-2*01	NA	IGHJ2-4*01	240
34	IGHV1-5*01	NA	IGHJ2-4*01	223
35	IGHV4-1*01	NA	IGHJ2-2*01	217
36	IGHV2-1*01	NA	IGHJ2-5*01	217
37	IGHV2-1*01	NA	IGHJ2-2*01	209
38	IGHV2-2*01	NA	IGHJ2-1*01	204
39	IGHV5-1*01	NA	IGHJ2-1*01	200
40	IGHV6-2*01	NA	IGHJ2-1*01	191
41	IGHV11-2*01	NA	IGHJ2-1*01	183
42	IGHV7-1*01	NA	IGHJ2-2*01	183
43	IGHV7-1*01	NA	IGHJ2-4*01	167
44	IGHV8-3*01	NA	IGHJ2-5*01	158
45	IGHV8-3*01	NA	IGHJ2-4*01	156
46	IGHV8-4*01	NA	IGHJ2-2*01	145
47	IGHV1-3*01	NA	IGHJ2-4*01	137
48	IGHV5-5*01	NA	IGHJ2-1*01	129
49	IGHV13-2*01	NA	IGHJ2-5*01	128
50	IGHV1-5*01	NA	IGHJ2-1*01	121
51	IGHV8-4*01	NA	IGHJ2-1*01	121
52	IGHV5-1*01	NA	IGHJ2-4*01	120
53	IGHV9-2*01	NA	IGHJ2-1*01	118
54	IGHV13-2*01	NA	IGHJ2-4*01	118
55	IGHV4-9*01	NA	IGHJ2-5*01	115
56	IGHV10-1*01	NA	IGHJ2-1*01	111
57	IGHV8-3*01	NA	IGHJ2-1*01	109
58	IGHV4-3*01	NA	IGHJ2-2*01	104
59	IGHV5-5*01	NA	IGHJ2-5*01	103
60	IGHV2-2*01	NA	IGHJ2-4*01	100
61	IGHV5-4*01	NA	IGHJ2-5*01	97
62	IGHV1-2*01	NA	IGHJ2-5*01	91
63	IGHV10-1*01	NA	IGHJ2-4*01	90
64	IGHV5-2*01	NA	IGHJ2-1*01	89
65	IGHV5-3*01	NA	IGHJ2-1*01	74
66	IGHV4-6*01	IGHD2-4*01	IGHJ2-1*01	73
67	IGHV1-3*01	NA	IGHJ2-2*01	72
68	IGHV11-2*01	NA	IGHJ2-4*01	72
69	IGHV14-1*01	NA	IGHJ2-5*01	71
70	IGHV11-2*01	NA	IGHJ2-5*01	70
71	IGHV8-2*01	NA	IGHJ2-1*01	69
72	IGHV4-5*01	NA	IGHJ2-1*01	68
73	IGHV1-4*01	NA	IGHJ2-1*01	64
74	IGHV4-1*01	NA	IGHJ2-3*01	61
75	IGHV14-1*01	NA	IGHJ2-3*01	59
76	IGHV6-2*01	NA	IGHJ2-4*01	55
77	IGHV4-5*01	NA	IGHJ2-4*01	53
78	IGHV5-3*01	NA	IGHJ2-5*01	51
79	IGHV5-4*01	NA	IGHJ2-1*01	50
80	IGHV8-1*01	NA	IGHJ2-1*01	41
81	IGHV1-3*01	IGHD2-5*01	IGHJ2-4*01	40
82	IGHV5-2*01	NA	IGHJ2-4*01	39
83	IGHV1-3*01	NA	IGHJ2-5*01	39
84	IGHV5-1*01	NA	IGHJ2-5*01	38
85	IGHV8-2*01	NA	IGHJ2-4*01	38
86	IGHV7-1*01	NA	IGHJ2-3*01	37
87	IGHV2-3*01	NA	IGHJ2-1*01	35
88	IGHV1-5*01	NA	IGHJ2-5*01	33
