	v
IGHV1-5*01	3533
IGHV4-1*01	1705
IGHV8-3*01	1566
IGHV4-6*01	1214
IGHV5-2*01	1130
IGHV1-2*01	1097
IGHV2-1*01	893
IGHV2-2*01	745
IGHV5-1*01	600
IGHV7-1*01	539
IGHV14-1*01	377
IGHV8-4*01	372
IGHV5-7*01	360
IGHV13-2*01	355
IGHV4-7*01	342
IGHV1-4*01	321
IGHV4-5*01	316
IGHV1-3*01	217
IGHV10-1*01	102
IGHV8-1*01	100
IGHV5-4*01	89
IGHV3-2*01	30
IGHV11-1*01	26
IGHV4-2*01	23
IGHV4-3*01	21
IGHV6-2*01	14
IGHV5-3*01	10
IGHV9-2*01	5
IGHV8-2*01	5
IGHV9-4*01	4
IGHV11-2*01	4
IGHV9-3*01	4
IGHV2-3*01	3
IGHV6-1*01	3
IGHV5-5*01	1
