	v
IGHV1-3*01	9771
IGHV4-1*01	1565
IGHV1-2*01	1299
IGHV2-1*01	1079
IGHV4-8*01	1061
IGHV14-1*01	1014
IGHV1-5*01	937
IGHV4-6*01	682
IGHV8-3*01	605
IGHV5-5*01	598
IGHV2-2*01	544
IGHV13-2*01	506
IGHV1-4*01	496
IGHV5-4*01	480
IGHV7-1*01	445
IGHV8-1*01	277
IGHV5-7*01	245
IGHV11-2*01	203
IGHV10-1*01	189
IGHV8-4*01	173
IGHV5-3*01	169
IGHV6-2*01	154
IGHV4-9*01	113
IGHV4-2*01	113
IGHV11-1*01	28
IGHV3-2*01	27
IGHV4-5*01	25
IGHV4-7*01	24
IGHV8-2*01	22
IGHV6-1*01	10
IGHV9-4*01	6
IGHV9-3*01	4
IGHV2-3*01	3
IGHV5-8*01	1
IGHV5-1*01	1
IGHV9-2*01	1
