	V	D	J	SRR017328	SRR017329	SRR017330	SRR017331	SRR017332	SRR017333	SRR017334	SRR017335	SRR017336	SRR017337	SRR017338	SRR017339	SRR017340	SRR017341
172	IGHV3-2*01	NA	IGHJ2-3*01	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
173	IGHV3-2*01	NA	IGHJ2-4*01	1.0	1.0	NA	2.0	NA	7.0	3.0	NA	2.0	NA	1.0	3.0	3.0	NA
174	IGHV3-2*01	NA	IGHJ2-5*01	3.0	2.0	NA	5.0	9.0	NA	6.0	1.0	6.0	3.0	8.0	5.0	2.0	2.0
175	IGHV4-1*01	IGHD2-1*01	IGHJ2-4*01	NA	NA	NA	NA	2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA
176	IGHV4-1*01	IGHD2-2*01	IGHJ2-1*01	NA	NA	NA	2.0	2.0	NA	NA	NA	6.0	NA	NA	NA	NA	NA
177	IGHV4-1*01	IGHD2-2*01	IGHJ2-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA
178	IGHV4-1*01	IGHD2-3*01	IGHJ2-1*01	NA	4.0	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA
179	IGHV4-1*01	IGHD2-3*01	IGHJ2-2*01	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	2.0	NA	NA	NA
180	IGHV4-1*01	IGHD2-3*01	IGHJ2-4*01	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
181	IGHV4-1*01	IGHD2-4*01	IGHJ2-1*01	NA	1.0	NA	5.0	1.0	NA	1.0	NA	1.0	657.0	2.0	1.0	2.0	NA
182	IGHV4-1*01	IGHD2-4*01	IGHJ2-2*01	NA	5.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
183	IGHV4-1*01	IGHD2-4*01	IGHJ2-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0
184	IGHV4-1*01	IGHD2-4*01	IGHJ2-5*01	NA	NA	NA	NA	NA	NA	NA	4.0	1.0	NA	NA	NA	NA	NA
185	IGHV4-1*01	IGHD2-5*01	IGHJ2-1*01	NA	NA	5.0	NA	NA	NA	NA	NA	7.0	NA	NA	NA	3.0	NA
186	IGHV4-1*01	IGHD2-5*01	IGHJ2-2*01	1.0	NA	NA	NA	NA	NA	NA	NA	NA	3.0	NA	3.0	NA	NA
187	IGHV4-1*01	IGHD2-5*01	IGHJ2-4*01	2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA
188	IGHV4-1*01	IGHD2-5*01	IGHJ2-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0	NA	NA	NA
189	IGHV4-1*01	NA	IGHJ2-1*01	120.0	467.0	7171.0	797.0	5308.0	119.0	670.0	450.0	3294.0	204.0	303.0	334.0	177.0	237.0
190	IGHV4-1*01	NA	IGHJ2-2*01	37.0	261.0	49.0	274.0	141.0	139.0	763.0	377.0	183.0	110.0	217.0	169.0	113.0	143.0
191	IGHV4-1*01	NA	IGHJ2-3*01	9.0	26.0	8.0	18.0	60.0	3.0	105.0	55.0	66.0	26.0	61.0	20.0	36.0	8.0
192	IGHV4-1*01	NA	IGHJ2-4*01	40.0	389.0	51.0	379.0	196.0	86.0	1034.0	425.0	293.0	160.0	263.0	1767.0	187.0	273.0
193	IGHV4-1*01	NA	IGHJ2-5*01	30.0	439.0	18.0	229.0	121.0	28.0	413.0	254.0	152.0	146.0	320.0	46.0	52.0	83.0
194	IGHV4-2*01	IGHD2-4*01	IGHJ2-1*01	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
195	IGHV4-2*01	IGHD2-4*01	IGHJ2-5*01	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
196	IGHV4-2*01	IGHD2-5*01	IGHJ2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA
197	IGHV4-2*01	IGHD2-5*01	IGHJ2-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA
198	IGHV4-2*01	NA	IGHJ2-1*01	18.0	39.0	14.0	14.0	23.0	7.0	67.0	51.0	42.0	8.0	25.0	245.0	37.0	9.0
199	IGHV4-2*01	NA	IGHJ2-2*01	1.0	15.0	2.0	1.0	21.0	NA	23.0	27.0	13.0	2.0	18.0	15.0	16.0	NA
200	IGHV4-2*01	NA	IGHJ2-4*01	2.0	22.0	7.0	5.0	21.0	NA	64.0	28.0	26.0	2.0	12.0	39.0	29.0	51.0
201	IGHV4-2*01	NA	IGHJ2-5*01	15.0	16.0	5.0	3.0	11.0	3.0	15.0	7.0	12.0	NA	12.0	15.0	15.0	1.0
202	IGHV4-3*01	IGHD2-1*01	IGHJ2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA
203	IGHV4-3*01	IGHD2-1*01	IGHJ2-4*01	NA	2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
204	IGHV4-3*01	IGHD2-2*01	IGHJ2-1*01	NA	NA	7.0	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA
205	IGHV4-3*01	IGHD2-4*01	IGHJ2-1*01	4.0	2.0	6.0	NA	NA	NA	NA	NA	5.0	NA	NA	1.0	2.0	NA
206	IGHV4-3*01	IGHD2-4*01	IGHJ2-2*01	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA
207	IGHV4-3*01	IGHD2-4*01	IGHJ2-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.0	NA	2.0	NA
208	IGHV4-3*01	IGHD2-5*01	IGHJ2-1*01	13.0	21.0	22.0	NA	20.0	NA	NA	NA	3.0	2.0	6.0	28.0	22.0	4.0
209	IGHV4-3*01	IGHD2-5*01	IGHJ2-2*01	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.0	NA
210	IGHV4-3*01	IGHD2-5*01	IGHJ2-4*01	12.0	8.0	3.0	NA	25.0	NA	NA	NA	24.0	1.0	1.0	4.0	44.0	2.0
211	IGHV4-3*01	IGHD2-5*01	IGHJ2-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0	NA	NA
212	IGHV4-3*01	NA	IGHJ1-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA
213	IGHV4-3*01	NA	IGHJ2-1*01	1377.0	875.0	915.0	17.0	595.0	2.0	NA	NA	283.0	285.0	1097.0	1164.0	923.0	145.0
214	IGHV4-3*01	NA	IGHJ2-2*01	273.0	457.0	394.0	NA	3989.0	NA	NA	NA	47.0	2402.0	104.0	291.0	585.0	39.0
215	IGHV4-3*01	NA	IGHJ2-3*01	3.0	NA	12.0	NA	17.0	NA	NA	NA	NA	2.0	1.0	1.0	28.0	NA
216	IGHV4-3*01	NA	IGHJ2-4*01	489.0	1909.0	537.0	2.0	424.0	NA	NA	NA	121.0	99.0	1716.0	503.0	2287.0	240.0
217	IGHV4-3*01	NA	IGHJ2-5*01	2764.0	310.0	482.0	2.0	254.0	5.0	NA	NA	404.0	346.0	275.0	349.0	534.0	194.0
218	IGHV4-5*01	IGHD2-5*01	IGHJ2-1*01	1.0	NA	2.0	NA	1.0	NA	NA	NA	NA	NA	1.0	NA	NA	2.0
219	IGHV4-5*01	IGHD2-5*01	IGHJ2-2*01	2.0	NA	NA	NA	NA	NA	NA	NA	9.0	NA	1.0	1.0	NA	NA
220	IGHV4-5*01	IGHD2-5*01	IGHJ2-4*01	NA	NA	5.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA
221	IGHV4-5*01	IGHD2-5*01	IGHJ2-5*01	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.0	NA	NA
222	IGHV4-5*01	NA	IGHJ1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA
223	IGHV4-5*01	NA	IGHJ2-1*01	45.0	36.0	33.0	157.0	28.0	41.0	6.0	11.0	61.0	31.0	68.0	467.0	96.0	2.0
224	IGHV4-5*01	NA	IGHJ2-2*01	19.0	12.0	16.0	16.0	10.0	11.0	NA	1.0	14.0	410.0	27.0	150.0	46.0	4.0
225	IGHV4-5*01	NA	IGHJ2-3*01	2.0	4.0	3.0	1.0	1.0	NA	NA	NA	4.0	1.0	18.0	36.0	8.0	NA
226	IGHV4-5*01	NA	IGHJ2-4*01	106.0	14.0	22.0	71.0	12.0	3.0	4.0	6.0	54.0	3.0	53.0	108.0	87.0	33.0
227	IGHV4-5*01	NA	IGHJ2-5*01	21.0	6.0	14.0	71.0	8.0	9.0	NA	7.0	25.0	8.0	433.0	67.0	53.0	3.0
228	IGHV4-6*01	IGHD1-2*01	IGHJ2-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA
229	IGHV4-6*01	IGHD2-1*01	IGHJ2-5*01	NA	4.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
230	IGHV4-6*01	IGHD2-4*01	IGHJ2-1*01	NA	NA	1.0	5.0	5.0	1.0	1.0	1.0	2.0	NA	73.0	14.0	99.0	NA
231	IGHV4-6*01	IGHD2-4*01	IGHJ2-5*01	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
232	IGHV4-6*01	IGHD2-5*01	IGHJ2-1*01	4.0	4.0	7.0	NA	6.0	NA	NA	NA	16.0	1.0	NA	15.0	19.0	NA
233	IGHV4-6*01	IGHD2-5*01	IGHJ2-4*01	2.0	NA	NA	NA	2.0	NA	NA	NA	NA	4.0	NA	3.0	8.0	NA
234	IGHV4-6*01	IGHD2-5*01	IGHJ2-5*01	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	2.0	1.0	5.0	NA
235	IGHV4-6*01	NA	IGHJ2-1*01	365.0	492.0	385.0	529.0	540.0	111.0	400.0	305.0	669.0	1686.0	988.0	1409.0	945.0	305.0
236	IGHV4-6*01	NA	IGHJ2-2*01	23.0	27.0	69.0	58.0	91.0	19.0	47.0	9.0	32.0	607.0	21.0	693.0	1357.0	1.0
237	IGHV4-6*01	NA	IGHJ2-3*01	1.0	NA	NA	1.0	NA	NA	NA	37.0	NA	NA	NA	NA	2.0	NA
238	IGHV4-6*01	NA	IGHJ2-4*01	135.0	259.0	261.0	473.0	338.0	78.0	441.0	137.0	503.0	1068.0	390.0	357.0	563.0	507.0
239	IGHV4-6*01	NA	IGHJ2-5*01	67.0	350.0	123.0	148.0	253.0	61.0	196.0	193.0	193.0	306.0	416.0	379.0	431.0	221.0
240	IGHV4-7*01	IGHD2-5*01	IGHJ2-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.0	NA	NA
241	IGHV4-7*01	NA	IGHJ2-1*01	NA	NA	NA	37.0	NA	11.0	10.0	5.0	1.0	NA	1.0	11.0	2.0	NA
242	IGHV4-7*01	NA	IGHJ2-2*01	NA	NA	NA	236.0	NA	18.0	18.0	8.0	4.0	1.0	NA	NA	1.0	1.0
243	IGHV4-7*01	NA	IGHJ2-3*01	NA	NA	NA	1.0	NA	3.0	3.0	NA	NA	NA	NA	NA	NA	NA
244	IGHV4-7*01	NA	IGHJ2-4*01	NA	1.0	NA	40.0	NA	6.0	9.0	7.0	NA	18.0	4.0	NA	NA	NA
245	IGHV4-7*01	NA	IGHJ2-5*01	NA	1.0	NA	28.0	NA	NA	1.0	4.0	4.0	NA	4.0	NA	NA	NA
246	IGHV4-8*01	IGHD1-2*01	IGHJ2-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA
247	IGHV4-8*01	IGHD2-1*01	IGHJ2-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA
248	IGHV4-8*01	IGHD2-2*01	IGHJ2-4*01	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	1.0
249	IGHV4-8*01	IGHD2-2*01	IGHJ2-5*01	NA	3.0	2.0	NA	NA	NA	11.0	NA	NA	NA	NA	NA	NA	NA
250	IGHV4-8*01	IGHD2-4*01	IGHJ2-1*01	NA	2.0	5.0	NA	3.0	NA	2.0	2.0	NA	NA	NA	42.0	NA	NA
251	IGHV4-8*01	IGHD2-4*01	IGHJ2-2*01	NA	NA	NA	NA	NA	NA	NA	7.0	NA	NA	NA	NA	NA	NA
252	IGHV4-8*01	IGHD2-4*01	IGHJ2-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.0	1.0	NA
253	IGHV4-8*01	IGHD2-4*01	IGHJ2-5*01	NA	NA	1.0	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
254	IGHV4-8*01	IGHD2-5*01	IGHJ2-1*01	95.0	11.0	36.0	NA	6.0	NA	NA	NA	4.0	NA	6.0	3.0	19.0	1.0
255	IGHV4-8*01	IGHD2-5*01	IGHJ2-2*01	NA	37.0	4.0	NA	6.0	NA	NA	NA	2.0	7.0	1.0	2.0	NA	NA
256	IGHV4-8*01	IGHD2-5*01	IGHJ2-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA
257	IGHV4-8*01	IGHD2-5*01	IGHJ2-4*01	2.0	2.0	3.0	NA	NA	NA	NA	NA	3.0	NA	1.0	13.0	3.0	NA
258	IGHV4-8*01	IGHD2-5*01	IGHJ2-5*01	1.0	NA	7.0	NA	NA	NA	NA	NA	3.0	NA	3.0	1.0	2.0	NA
259	IGHV4-8*01	NA	IGHJ1-1*01	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA
260	IGHV4-8*01	NA	IGHJ1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA
261	IGHV4-8*01	NA	IGHJ2-1*01	419.0	760.0	486.0	NA	826.0	NA	1236.0	349.0	338.0	218.0	282.0	1169.0	428.0	2391.0
262	IGHV4-8*01	NA	IGHJ2-2*01	209.0	369.0	234.0	NA	5686.0	NA	550.0	296.0	416.0	40.0	938.0	761.0	292.0	188.0
263	IGHV4-8*01	NA	IGHJ2-3*01	4.0	23.0	3.0	NA	84.0	NA	16.0	18.0	39.0	4.0	8.0	28.0	29.0	3.0
264	IGHV4-8*01	NA	IGHJ2-4*01	250.0	1004.0	218.0	NA	2131.0	NA	718.0	230.0	362.0	313.0	341.0	142.0	221.0	214.0
265	IGHV4-8*01	NA	IGHJ2-5*01	499.0	361.0	220.0	NA	420.0	NA	621.0	159.0	271.0	765.0	587.0	2415.0	1292.0	240.0
266	IGHV4-9*01	IGHD2-5*01	IGHJ2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA
267	IGHV4-9*01	IGHD2-5*01	IGHJ2-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.0	1.0	NA
268	IGHV4-9*01	NA	IGHJ2-1*01	15.0	48.0	43.0	NA	76.0	NA	141.0	59.0	37.0	48.0	15.0	28.0	56.0	5.0
269	IGHV4-9*01	NA	IGHJ2-2*01	NA	10.0	3.0	NA	19.0	7.0	65.0	6.0	9.0	26.0	12.0	5.0	55.0	10.0
270	IGHV4-9*01	NA	IGHJ2-3*01	NA	NA	2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
271	IGHV4-9*01	NA	IGHJ2-4*01	2.0	27.0	3.0	NA	41.0	NA	62.0	37.0	39.0	16.0	18.0	11.0	34.0	11.0
272	IGHV4-9*01	NA	IGHJ2-5*01	1.0	39.0	NA	NA	36.0	NA	261.0	11.0	12.0	2.0	115.0	11.0	58.0	7.0
273	IGHV5-1*01	IGHD2-1*01	IGHJ2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA
274	IGHV5-1*01	IGHD2-2*01	IGHJ2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA
275	IGHV5-1*01	IGHD2-4*01	IGHJ2-1*01	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA
276	IGHV5-1*01	IGHD2-5*01	IGHJ2-1*01	1.0	NA	5.0	NA	4.0	NA	NA	NA	3.0	NA	3.0	2.0	1.0	NA
277	IGHV5-1*01	IGHD2-5*01	IGHJ2-4*01	1.0	28.0	6.0	NA	NA	NA	NA	NA	1.0	NA	1.0	3.0	1.0	NA
278	IGHV5-1*01	IGHD2-5*01	IGHJ2-5*01	NA	NA	3.0	NA	NA	NA	NA	NA	NA	2.0	NA	NA	1.0	NA
279	IGHV5-1*01	NA	IGHJ2-1*01	573.0	552.0	359.0	322.0	309.0	68.0	NA	1.0	226.0	117.0	200.0	487.0	261.0	134.0
280	IGHV5-1*01	NA	IGHJ2-2*01	181.0	154.0	35.0	100.0	94.0	22.0	NA	NA	64.0	624.0	460.0	81.0	297.0	66.0
281	IGHV5-1*01	NA	IGHJ2-3*01	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	1.0	NA	1.0	NA
282	IGHV5-1*01	NA	IGHJ2-4*01	284.0	230.0	403.0	140.0	228.0	7.0	NA	NA	92.0	486.0	120.0	257.0	178.0	15.0
283	IGHV5-1*01	NA	IGHJ2-5*01	136.0	115.0	59.0	37.0	52.0	1.0	NA	NA	51.0	16.0	38.0	125.0	141.0	17.0
284	IGHV5-2*01	IGHD2-1*01	IGHJ2-4*01	NA	NA	NA	2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
285	IGHV5-2*01	IGHD2-4*01	IGHJ2-1*01	1.0	NA	NA	7.0	NA	NA	NA	NA	3.0	NA	NA	14.0	3.0	NA
286	IGHV5-2*01	IGHD2-5*01	IGHJ2-1*01	12.0	NA	7.0	NA	NA	NA	NA	NA	2.0	NA	NA	3.0	1.0	NA
287	IGHV5-2*01	IGHD2-5*01	IGHJ2-4*01	3.0	NA	NA	NA	2.0	NA	NA	NA	NA	NA	4.0	2.0	NA	NA
288	IGHV5-2*01	IGHD2-5*01	IGHJ2-5*01	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
289	IGHV5-2*01	NA	IGHJ2-1*01	138.0	53.0	203.0	503.0	84.0	6.0	NA	NA	100.0	67.0	89.0	152.0	113.0	22.0
290	IGHV5-2*01	NA	IGHJ2-2*01	31.0	68.0	107.0	108.0	890.0	1.0	NA	NA	89.0	2.0	16.0	43.0	131.0	19.0
291	IGHV5-2*01	NA	IGHJ2-3*01	6.0	NA	4.0	3.0	335.0	NA	NA	NA	NA	NA	NA	4.0	5.0	NA
292	IGHV5-2*01	NA	IGHJ2-4*01	142.0	46.0	130.0	377.0	39.0	3.0	2.0	NA	40.0	2.0	39.0	295.0	68.0	21.0
293	IGHV5-2*01	NA	IGHJ2-5*01	165.0	60.0	86.0	130.0	10.0	NA	NA	NA	18.0	6.0	25115.0	56.0	42.0	31.0
294	IGHV5-3*01	IGHD2-4*01	IGHJ2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	1.0	NA	NA
295	IGHV5-3*01	IGHD2-5*01	IGHJ2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	3.0	NA	NA	NA
296	IGHV5-3*01	IGHD2-5*01	IGHJ2-5*01	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA
297	IGHV5-3*01	NA	IGHJ2-1*01	36.0	73.0	39.0	9.0	52.0	1.0	122.0	127.0	150.0	191.0	74.0	118.0	210.0	56.0
298	IGHV5-3*01	NA	IGHJ2-2*01	NA	5.0	4.0	NA	13.0	NA	NA	NA	9.0	2.0	3.0	12.0	70.0	98.0
299	IGHV5-3*01	NA	IGHJ2-4*01	23.0	13.0	NA	1.0	15.0	1.0	47.0	25.0	63.0	1.0	19.0	17.0	21.0	NA
300	IGHV5-3*01	NA	IGHJ2-5*01	1.0	3.0	1.0	NA	7.0	NA	48.0	17.0	18.0	2.0	51.0	13.0	4.0	2.0
301	IGHV5-4*01	IGHD2-5*01	IGHJ2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA
302	IGHV5-4*01	NA	IGHJ2-1*01	51.0	331.0	77.0	70.0	237.0	35.0	275.0	199.0	122.0	33.0	50.0	139.0	666.0	443.0
303	IGHV5-4*01	NA	IGHJ2-2*01	NA	1.0	NA	NA	23.0	NA	14.0	1.0	3.0	NA	NA	3.0	4.0	1.0
304	IGHV5-4*01	NA	IGHJ2-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA
305	IGHV5-4*01	NA	IGHJ2-4*01	9.0	64.0	20.0	7.0	121.0	7.0	19.0	61.0	49.0	20.0	3.0	23.0	27.0	44.0
306	IGHV5-4*01	NA	IGHJ2-5*01	48.0	181.0	23.0	12.0	118.0	8.0	200.0	219.0	107.0	25.0	97.0	22.0	84.0	313.0
307	IGHV5-5*01	IGHD2-4*01	IGHJ2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0	NA
308	IGHV5-5*01	IGHD2-5*01	IGHJ2-1*01	NA	2.0	NA	NA	1.0	NA	NA	NA	2.0	NA	NA	NA	3.0	NA
309	IGHV5-5*01	IGHD2-5*01	IGHJ2-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	192.0	NA
310	IGHV5-5*01	NA	IGHJ2-1*01	69.0	209.0	111.0	NA	216.0	1.0	1226.0	305.0	335.0	151.0	129.0	436.0	452.0	189.0
311	IGHV5-5*01	NA	IGHJ2-2*01	NA	NA	NA	NA	14.0	NA	1.0	4.0	NA	NA	1.0	2.0	23.0	1.0
312	IGHV5-5*01	NA	IGHJ2-4*01	10.0	27.0	26.0	NA	85.0	NA	75.0	66.0	59.0	8.0	25.0	27.0	69.0	11.0
313	IGHV5-5*01	NA	IGHJ2-5*01	29.0	122.0	19.0	1.0	117.0	NA	136.0	223.0	158.0	530.0	103.0	219.0	145.0	149.0
314	IGHV5-7*01	IGHD2-1*01	IGHJ2-1*01	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
315	IGHV5-7*01	IGHD2-2*01	IGHJ2-1*01	NA	NA	3.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
316	IGHV5-7*01	IGHD2-4*01	IGHJ2-1*01	NA	NA	NA	NA	NA	NA	2.0	NA	2.0	NA	NA	NA	7.0	NA
317	IGHV5-7*01	IGHD2-4*01	IGHJ2-5*01	NA	NA	NA	NA	NA	NA	NA	2.0	NA	NA	NA	NA	NA	NA
318	IGHV5-7*01	IGHD2-5*01	IGHJ2-1*01	NA	4.0	NA	NA	3.0	NA	NA	NA	7.0	1.0	NA	3.0	NA	NA
319	IGHV5-7*01	IGHD2-5*01	IGHJ2-2*01	NA	NA	2.0	NA	2.0	NA	NA	NA	NA	178.0	NA	NA	NA	NA
320	IGHV5-7*01	IGHD2-5*01	IGHJ2-4*01	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	2.0	1.0	NA
321	IGHV5-7*01	NA	IGHJ2-1*01	44.0	147.0	16.0	227.0	92.0	3.0	203.0	114.0	62.0	45.0	452.0	80.0	91.0	61.0
322	IGHV5-7*01	NA	IGHJ2-2*01	14.0	53.0	16.0	18.0	40.0	NA	47.0	24.0	35.0	30.0	11.0	35.0	29.0	1299.0
323	IGHV5-7*01	NA	IGHJ2-3*01	NA	NA	1.0	NA	6.0	NA	1.0	NA	NA	NA	NA	3.0	2.0	3.0
324	IGHV5-7*01	NA	IGHJ2-4*01	16.0	97.0	29.0	69.0	71.0	NA	182.0	61.0	47.0	10.0	31.0	46.0	39.0	1275.0
325	IGHV5-7*01	NA	IGHJ2-5*01	14.0	39.0	28.0	46.0	13.0	NA	100.0	44.0	28.0	229.0	9.0	23.0	9.0	10.0
326	IGHV5-8*01	IGHD2-4*01	IGHJ2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA
327	IGHV5-8*01	IGHD2-5*01	IGHJ2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0	NA
328	IGHV5-8*01	NA	IGHJ2-1*01	12.0	23.0	14.0	NA	84.0	NA	NA	1.0	23.0	18.0	23.0	87.0	120.0	1.0
329	IGHV5-8*01	NA	IGHJ2-2*01	NA	NA	NA	NA	2.0	NA	NA	NA	NA	NA	NA	NA	3.0	NA
330	IGHV5-8*01	NA	IGHJ2-4*01	1.0	1.0	NA	NA	7.0	NA	NA	NA	8.0	NA	3.0	2.0	21.0	NA
331	IGHV5-8*01	NA	IGHJ2-5*01	4.0	3.0	5.0	NA	5.0	NA	NA	NA	14.0	3.0	12.0	34.0	35.0	1.0
332	IGHV6-1*01	IGHD2-4*01	IGHJ2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA
333	IGHV6-1*01	IGHD2-4*01	IGHJ2-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA
334	IGHV6-1*01	NA	IGHJ2-1*01	2.0	2.0	1.0	3.0	13.0	1.0	4.0	3.0	5.0	6.0	4.0	6.0	6.0	8.0
335	IGHV6-1*01	NA	IGHJ2-2*01	1.0	NA	NA	NA	NA	NA	NA	NA	3.0	NA	NA	8.0	4.0	NA
336	IGHV6-1*01	NA	IGHJ2-4*01	3.0	1.0	NA	NA	3.0	NA	NA	3.0	NA	8.0	3.0	3.0	6.0	NA
337	IGHV6-1*01	NA	IGHJ2-5*01	1.0	NA	NA	NA	NA	NA	2.0	4.0	1.0	NA	1.0	6.0	3.0	1.0
338	IGHV6-2*01	IGHD2-4*01	IGHJ2-1*01	NA	2.0	NA	NA	NA	NA	NA	NA	NA	NA	3.0	3.0	1.0	NA
339	IGHV6-2*01	IGHD2-5*01	IGHJ2-1*01	NA	1.0	8.0	NA	NA	NA	NA	NA	NA	NA	3.0	NA	6.0	NA
340	IGHV6-2*01	IGHD2-5*01	IGHJ2-4*01	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	1.0	5.0	3.0	NA
341	IGHV6-2*01	IGHD2-5*01	IGHJ2-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA
342	IGHV6-2*01	NA	IGHJ1-1*01	NA	NA	NA	NA	NA	NA	1.0	NA	2.0	NA	1.0	NA	NA	NA
343	IGHV6-2*01	NA	IGHJ1-2*01	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	2.0	NA	1.0
344	IGHV6-2*01	NA	IGHJ2-1*01	54.0	56.0	39.0	11.0	41.0	NA	85.0	105.0	146.0	89.0	191.0	331.0	797.0	879.0
345	IGHV6-2*01	NA	IGHJ2-2*01	4.0	1.0	1.0	NA	5.0	NA	2.0	3.0	5.0	5.0	7.0	6.0	32.0	2.0
346	IGHV6-2*01	NA	IGHJ2-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA
347	IGHV6-2*01	NA	IGHJ2-4*01	5.0	16.0	14.0	NA	16.0	NA	11.0	21.0	31.0	52.0	55.0	42.0	61.0	6.0
348	IGHV6-2*01	NA	IGHJ2-5*01	6.0	17.0	5.0	3.0	12.0	NA	33.0	24.0	25.0	4.0	16.0	22.0	32.0	6.0
349	IGHV7-1*01	IGHD1-2*01	IGHJ2-1*01	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
