	V	D	J	SRR017328	SRR017329	SRR017330	SRR017331	SRR017332	SRR017333	SRR017334	SRR017335	SRR017336	SRR017337	SRR017338	SRR017339	SRR017340	SRR017341
39	IGHV1-4*01	IGHD2-4*01	IGHJ2-1*01	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA
40	IGHV1-4*01	IGHD2-5*01	IGHJ2-1*01	1.0	NA	NA	NA	1.0	NA	NA	NA	1.0	NA	NA	NA	NA	NA
41	IGHV1-4*01	IGHD2-5*01	IGHJ2-2*01	NA	4.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
42	IGHV1-4*01	IGHD2-5*01	IGHJ2-4*01	NA	NA	1.0	NA	NA	NA	NA	NA	1.0	NA	NA	1.0	NA	NA
43	IGHV1-4*01	NA	IGHJ2-1*01	52.0	111.0	145.0	155.0	57.0	42.0	531.0	165.0	240.0	54.0	64.0	100.0	14.0	34.0
44	IGHV1-4*01	NA	IGHJ2-2*01	28.0	86.0	12.0	36.0	64.0	7.0	153.0	99.0	76.0	34.0	27.0	55.0	9.0	52.0
45	IGHV1-4*01	NA	IGHJ2-3*01	22.0	44.0	3.0	7.0	19.0	1.0	47.0	24.0	5.0	25.0	NA	2.0	1.0	3.0
46	IGHV1-4*01	NA	IGHJ2-4*01	27.0	327.0	10.0	92.0	106.0	26.0	225.0	77.0	67.0	237.0	9.0	37.0	9.0	21.0
47	IGHV1-4*01	NA	IGHJ2-5*01	27.0	84.0	2.0	31.0	56.0	4.0	154.0	129.0	41.0	208.0	1.0	14.0	3.0	82.0
48	IGHV1-5*01	IGHD2-2*01	IGHJ2-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA
49	IGHV1-5*01	IGHD2-3*01	IGHJ2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA
50	IGHV1-5*01	IGHD2-4*01	IGHJ2-1*01	5.0	6.0	NA	9.0	15.0	7.0	4.0	NA	NA	3.0	2.0	1.0	15.0	NA
51	IGHV1-5*01	IGHD2-4*01	IGHJ2-2*01	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
52	IGHV1-5*01	IGHD2-4*01	IGHJ2-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA
53	IGHV1-5*01	IGHD2-4*01	IGHJ2-5*01	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
54	IGHV1-5*01	IGHD2-5*01	IGHJ2-1*01	NA	NA	NA	NA	5.0	NA	NA	NA	NA	1.0	NA	NA	5.0	NA
55	IGHV1-5*01	IGHD2-5*01	IGHJ2-2*01	7.0	NA	NA	NA	NA	NA	NA	NA	8.0	NA	NA	NA	NA	NA
56	IGHV1-5*01	IGHD2-5*01	IGHJ2-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA
57	IGHV1-5*01	IGHD2-5*01	IGHJ2-4*01	1.0	NA	3.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
58	IGHV1-5*01	IGHD2-5*01	IGHJ2-5*01	6.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	1.0	2.0	NA
59	IGHV1-5*01	NA	IGHJ2-1*01	129.0	259.0	87.0	881.0	211.0	139.0	428.0	155.0	195.0	81.0	121.0	6175.0	176.0	161.0
60	IGHV1-5*01	NA	IGHJ2-2*01	60.0	275.0	59.0	421.0	233.0	135.0	399.0	284.0	173.0	112.0	661.0	332.0	145.0	102.0
61	IGHV1-5*01	NA	IGHJ2-3*01	36.0	105.0	50.0	38.0	85.0	21.0	50.0	72.0	60.0	961.0	17.0	9.0	31.0	13.0
62	IGHV1-5*01	NA	IGHJ2-4*01	60.0	362.0	52.0	1990.0	604.0	278.0	263.0	249.0	158.0	82.0	223.0	208.0	99.0	53.0
63	IGHV1-5*01	NA	IGHJ2-5*01	16.0	138.0	50.0	194.0	114.0	105.0	252.0	177.0	73.0	265.0	33.0	188.0	63.0	49.0
64	IGHV10-1*01	IGHD2-4*01	IGHJ2-1*01	NA	1.0	NA	NA	NA	1.0	NA	1.0	NA	NA	NA	NA	2.0	NA
65	IGHV10-1*01	IGHD2-4*01	IGHJ2-5*01	NA	NA	NA	NA	2.0	NA	NA	NA	NA	NA	NA	1.0	NA	NA
66	IGHV10-1*01	IGHD2-5*01	IGHJ2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.0	3.0	NA
67	IGHV10-1*01	IGHD2-5*01	IGHJ2-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.0	NA	NA
68	IGHV10-1*01	IGHD2-5*01	IGHJ2-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0	NA	NA
69	IGHV10-1*01	NA	IGHJ2-1*01	31.0	71.0	48.0	63.0	57.0	35.0	148.0	53.0	102.0	14.0	111.0	81.0	80.0	79.0
70	IGHV10-1*01	NA	IGHJ2-2*01	2.0	10.0	NA	3.0	16.0	NA	53.0	5.0	10.0	1.0	6.0	10.0	58.0	NA
71	IGHV10-1*01	NA	IGHJ2-4*01	19.0	51.0	13.0	20.0	48.0	15.0	45.0	115.0	16.0	35.0	90.0	48.0	57.0	80.0
72	IGHV10-1*01	NA	IGHJ2-5*01	2.0	54.0	7.0	16.0	12.0	12.0	9.0	15.0	21.0	16.0	20.0	21.0	24.0	3.0
73	IGHV11-1*01	IGHD2-5*01	IGHJ2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	53.0	NA	NA
74	IGHV11-1*01	IGHD2-5*01	IGHJ2-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.0
75	IGHV11-1*01	NA	IGHJ1-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA
76	IGHV11-1*01	NA	IGHJ2-1*01	19.0	23.0	1.0	17.0	8.0	NA	12.0	15.0	17.0	NA	13.0	32.0	22.0	2.0
77	IGHV11-1*01	NA	IGHJ2-2*01	NA	NA	6.0	1.0	1.0	NA	3.0	2.0	9.0	2.0	NA	3.0	2.0	NA
78	IGHV11-1*01	NA	IGHJ2-4*01	NA	11.0	1.0	7.0	6.0	NA	10.0	7.0	2.0	NA	25.0	9.0	5.0	NA
79	IGHV11-1*01	NA	IGHJ2-5*01	1.0	3.0	1.0	1.0	NA	NA	2.0	4.0	4.0	NA	NA	8.0	NA	2.0
80	IGHV11-2*01	IGHD2-2*01	IGHJ2-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.0	NA	NA	NA	NA
81	IGHV11-2*01	IGHD2-3*01	IGHJ2-1*01	NA	NA	NA	NA	4.0	NA	NA	NA	NA	NA	NA	NA	NA	NA
82	IGHV11-2*01	IGHD2-4*01	IGHJ2-1*01	NA	NA	NA	NA	NA	NA	3.0	1.0	NA	NA	2.0	NA	NA	NA
83	IGHV11-2*01	IGHD2-4*01	IGHJ2-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA
84	IGHV11-2*01	IGHD2-4*01	IGHJ2-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0	NA	3.0
85	IGHV11-2*01	IGHD2-5*01	IGHJ2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	1.0	2.0	2.0	2.0	6.0	NA
86	IGHV11-2*01	IGHD2-5*01	IGHJ2-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA
87	IGHV11-2*01	IGHD2-5*01	IGHJ2-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA
