	V	D	J	SRR017328	SRR017329	SRR017330	SRR017331	SRR017332	SRR017333	SRR017334	SRR017335	SRR017336	SRR017337	SRR017338	SRR017339	SRR017340	SRR017341
44	IGHV4-6*01	NA	IGHJ2-3*01	1.0	4.0	NA	NA	NA	NA	NA	52.0	NA	1.0	NA	NA	1.0	3.0
45	IGHV4-6*01	NA	IGHJ2-4*01	NA	NA	2.0	3.0	NA	NA	NA	NA	1.0	3.0	1.0	NA	3.0	2.0
46	IGHV4-6*01	NA	IGHJ2-5*01	NA	NA	NA	NA	1.0	NA	NA	NA	NA	3.0	1.0	NA	1.0	NA
47	IGHV4-8*01	NA	IGHJ1-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0	NA	NA
48	IGHV4-8*01	NA	IGHJ2-1*01	NA	2.0	NA	NA	NA	NA	2.0	1.0	NA	1.0	NA	NA	1.0	1.0
49	IGHV4-8*01	NA	IGHJ2-2*01	1.0	NA	NA	NA	12.0	NA	1.0	NA	NA	NA	2.0	1.0	1.0	1.0
50	IGHV4-8*01	NA	IGHJ2-3*01	NA	NA	NA	NA	NA	NA	NA	2.0	NA	NA	NA	NA	NA	7.0
51	IGHV4-8*01	NA	IGHJ2-4*01	1.0	1.0	NA	NA	1.0	NA	4.0	1.0	NA	1.0	NA	NA	NA	NA
52	IGHV4-8*01	NA	IGHJ2-5*01	NA	1.0	NA	NA	2.0	NA	NA	NA	1.0	2.0	1.0	3.0	2.0	NA
53	IGHV4-9*01	IGHD1-2*01	IGHJ1-1*01	NA	NA	NA	NA	NA	NA	NA	NA	2.0	NA	NA	NA	NA	NA
54	IGHV4-9*01	NA	IGHJ2-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA
55	IGHV5-1*01	NA	IGHJ2-2*01	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
56	IGHV5-1*01	NA	IGHJ2-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0
57	IGHV5-2*01	NA	IGHJ2-1*01	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
58	IGHV5-2*01	NA	IGHJ2-2*01	NA	NA	NA	NA	2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA
59	IGHV5-2*01	NA	IGHJ2-3*01	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA
60	IGHV5-2*01	NA	IGHJ2-5*01	NA	NA	2.0	1.0	NA	NA	NA	NA	NA	NA	33.0	NA	NA	NA
61	IGHV5-4*01	NA	IGHJ2-3*01	NA	NA	NA	NA	NA	NA	2.0	NA	NA	NA	NA	NA	1.0	NA
62	IGHV5-5*01	NA	IGHJ2-2*01	NA	1.0	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
63	IGHV5-5*01	NA	IGHJ2-3*01	NA	NA	NA	NA	NA	NA	2.0	NA	NA	NA	NA	NA	1.0	NA
64	IGHV5-5*01	NA	IGHJ2-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.0	NA	NA	NA	NA
65	IGHV5-7*01	NA	IGHJ2-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0
66	IGHV5-7*01	NA	IGHJ2-3*01	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA
67	IGHV6-2*01	NA	IGHJ2-3*01	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
68	IGHV8-1*01	NA	IGHJ2-2*01	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA
69	IGHV8-1*01	NA	IGHJ2-3*01	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA
70	IGHV8-1*01	NA	IGHJ2-4*01	NA	1.0	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
71	IGHV8-1*01	NA	IGHJ2-5*01	NA	NA	NA	NA	NA	NA	2.0	NA	NA	1.0	NA	NA	NA	NA
72	IGHV8-2*01	NA	IGHJ2-1*01	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA
73	IGHV9-4*01	NA	IGHJ2-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA
