	SRR017328	SRR017329	SRR017330	SRR017331	SRR017332	SRR017333	SRR017334	SRR017335	SRR017336	SRR017337	SRR017338	SRR017339	SRR017340	SRR017341
ambiguous	17339.0	24699.0	29574.0	16062.0	36386	3410.0	29287.0	22812.0	22302.0	60201.0	62182.0	47559.0	40323	31095.0
IGHD2-5*01	256.0	158.0	181.0	NA	127	1.0	NA	NA	179.0	251.0	190.0	1250.0	528	374.0
IGHD2-4*01	23.0	50.0	20.0	37.0	44	10.0	42.0	56.0	23.0	667.0	95.0	128.0	159	8.0
IGHD2-2*01	NA	7.0	16.0	14.0	6	NA	12.0	1.0	7.0	14.0	1.0	8.0	19	2.0
IGHD2-1*01	6.0	6.0	NA	3.0	2	NA	6.0	NA	1.0	13.0	2.0	NA	2	NA
IGHD2-3*01	2.0	4.0	NA	3.0	4	1.0	1.0	1.0	1.0	NA	4.0	1.0	15	6.0
IGHD1-2*01	NA	NA	1.0	7.0	4	NA	NA	NA	NA	1.0	NA	3.0	2	1.0
