	v	d	j	frequency
0	IGHV1-3*01	NA	IGHJ2-1*01	2048
1	IGHV1-2*01	NA	IGHJ2-4*01	2026
2	IGHV4-8*01	NA	IGHJ2-1*01	1236
3	IGHV5-5*01	NA	IGHJ2-1*01	1226
4	IGHV1-2*01	NA	IGHJ2-2*01	1090
5	IGHV1-3*01	NA	IGHJ2-4*01	1088
6	IGHV4-1*01	NA	IGHJ2-4*01	1034
7	IGHV1-2*01	NA	IGHJ2-5*01	1023
8	IGHV4-1*01	NA	IGHJ2-2*01	763
9	IGHV4-8*01	NA	IGHJ2-4*01	718
10	IGHV1-3*01	NA	IGHJ2-5*01	709
11	IGHV2-1*01	NA	IGHJ2-1*01	677
12	IGHV4-1*01	NA	IGHJ2-1*01	670
13	IGHV14-1*01	NA	IGHJ2-2*01	655
14	IGHV4-8*01	NA	IGHJ2-5*01	621
15	IGHV4-8*01	NA	IGHJ2-2*01	550
16	IGHV2-1*01	NA	IGHJ2-4*01	549
17	IGHV1-4*01	NA	IGHJ2-1*01	531
18	IGHV1-2*01	NA	IGHJ2-1*01	483
19	IGHV13-2*01	NA	IGHJ2-1*01	462
20	IGHV4-6*01	NA	IGHJ2-4*01	441
21	IGHV14-1*01	NA	IGHJ2-4*01	434
22	IGHV1-5*01	NA	IGHJ2-1*01	428
23	IGHV4-1*01	NA	IGHJ2-5*01	413
24	IGHV4-6*01	NA	IGHJ2-1*01	400
25	IGHV1-5*01	NA	IGHJ2-2*01	399
26	IGHV7-1*01	NA	IGHJ2-1*01	301
27	IGHV2-1*01	NA	IGHJ2-2*01	275
28	IGHV5-4*01	NA	IGHJ2-1*01	275
29	IGHV1-3*01	NA	IGHJ2-3*01	274
30	IGHV1-5*01	NA	IGHJ2-4*01	263
31	IGHV4-9*01	NA	IGHJ2-5*01	261
32	IGHV1-5*01	NA	IGHJ2-5*01	252
33	IGHV2-1*01	NA	IGHJ2-5*01	234
34	IGHV1-4*01	NA	IGHJ2-4*01	225
35	IGHV8-3*01	NA	IGHJ2-2*01	215
36	IGHV7-1*01	NA	IGHJ2-4*01	208
37	IGHV5-7*01	NA	IGHJ2-1*01	203
38	IGHV14-1*01	NA	IGHJ2-5*01	202
39	IGHV5-4*01	NA	IGHJ2-5*01	200
40	IGHV14-1*01	NA	IGHJ2-1*01	196
41	IGHV4-6*01	NA	IGHJ2-5*01	196
42	IGHV8-3*01	NA	IGHJ2-4*01	191
43	IGHV5-7*01	NA	IGHJ2-4*01	182
44	IGHV2-2*01	NA	IGHJ2-1*01	181
45	IGHV1-3*01	NA	IGHJ2-2*01	177
46	IGHV8-3*01	NA	IGHJ2-1*01	168
47	IGHV11-2*01	NA	IGHJ2-4*01	162
48	IGHV1-4*01	NA	IGHJ2-5*01	154
49	IGHV1-4*01	NA	IGHJ2-2*01	153
50	IGHV10-1*01	NA	IGHJ2-1*01	148
51	IGHV4-9*01	NA	IGHJ2-1*01	141
52	IGHV13-2*01	NA	IGHJ2-4*01	139
53	IGHV5-5*01	NA	IGHJ2-5*01	136
54	IGHV13-2*01	NA	IGHJ2-5*01	134
55	IGHV2-2*01	NA	IGHJ2-4*01	131
56	IGHV5-3*01	NA	IGHJ2-1*01	122
57	IGHV8-1*01	NA	IGHJ2-4*01	122
58	IGHV7-1*01	NA	IGHJ2-5*01	106
59	IGHV4-1*01	NA	IGHJ2-3*01	105
60	IGHV11-2*01	NA	IGHJ2-1*01	102
61	IGHV5-7*01	NA	IGHJ2-5*01	100
62	IGHV6-2*01	NA	IGHJ2-1*01	85
63	IGHV7-1*01	NA	IGHJ2-2*01	81
64	IGHV8-1*01	NA	IGHJ2-5*01	77
65	IGHV5-5*01	NA	IGHJ2-4*01	75
66	IGHV4-2*01	NA	IGHJ2-1*01	67
67	IGHV8-4*01	NA	IGHJ2-1*01	66
68	IGHV4-9*01	NA	IGHJ2-2*01	65
69	IGHV4-2*01	NA	IGHJ2-4*01	64
