	SRR017328	SRR017329	SRR017330	SRR017331	SRR017332	SRR017333	SRR017334	SRR017335	SRR017336	SRR017337	SRR017338	SRR017339	SRR017340	SRR017341
NA	10.0	17.0	8.0	NA	26.0	2.0	31.0	66.0	NA	NA	49.0	16.0	18.0	21.0
ambiguous	NA	NA	NA	26.0	NA	NA	NA	NA	10.0	24.0	NA	NA	NA	NA
IGHD2-4*01	NA	NA	NA	2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IGHD1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	2.0	NA	NA	NA	NA	NA
IGHD2-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA
