	v
IGHV5-2*01	25263
IGHV1-3*01	12962
IGHV4-3*01	3203
IGHV4-8*01	2169
IGHV2-1*01	2000
IGHV4-6*01	1890
IGHV7-1*01	1692
IGHV14-1*01	1458
IGHV2-2*01	1345
IGHV4-1*01	1171
IGHV8-4*01	1160
IGHV1-5*01	1059
IGHV1-2*01	1035
IGHV8-3*01	965
IGHV5-1*01	823
IGHV4-5*01	601
IGHV13-2*01	580
IGHV5-7*01	503
IGHV8-2*01	385
IGHV11-2*01	356
IGHV6-2*01	278
IGHV5-5*01	258
IGHV10-1*01	227
IGHV4-9*01	160
IGHV5-4*01	151
IGHV5-3*01	150
IGHV9-2*01	134
IGHV8-1*01	114
IGHV1-4*01	101
IGHV4-2*01	68
IGHV2-3*01	47
IGHV11-1*01	39
IGHV5-8*01	38
IGHV3-2*01	34
IGHV9-3*01	33
IGHV4-7*01	9
IGHV6-1*01	9
IGHV9-4*01	4
