	vj_ins_len
0	111
1	248
2	1383
3	1857
4	1259
5	3429
6	5186
7	3958
8	2619
9	5603
10	2596
11	3876
12	1829
13	2062
14	4128
15	383
16	205
17	204
18	51
19	37
20	8
21	9
22	3
23	1
24	1
28	1
41	1
