	v
IGHV4-8*01	7
IGHV1-5*01	5
IGHV1-2*01	4
IGHV4-6*01	4
IGHV1-3*01	3
IGHV8-1*01	2
IGHV5-4*01	2
IGHV5-5*01	2
IGHV6-2*01	1
IGHV4-1*01	1
