	v	d	j	frequency
0	IGHV1-3*01	NA	IGHJ2-4*01	9076
1	IGHV2-1*01	NA	IGHJ2-1*01	622
2	IGHV14-1*01	NA	IGHJ2-4*01	504
3	IGHV4-1*01	NA	IGHJ2-1*01	450
4	IGHV4-1*01	NA	IGHJ2-4*01	425
5	IGHV1-2*01	NA	IGHJ2-4*01	420
6	IGHV1-2*01	NA	IGHJ2-1*01	385
7	IGHV4-1*01	NA	IGHJ2-2*01	377
8	IGHV4-8*01	NA	IGHJ2-1*01	349
9	IGHV1-3*01	NA	IGHJ2-2*01	312
10	IGHV5-5*01	NA	IGHJ2-1*01	305
11	IGHV4-6*01	NA	IGHJ2-1*01	305
12	IGHV4-8*01	NA	IGHJ2-2*01	296
13	IGHV1-5*01	NA	IGHJ2-2*01	284
14	IGHV1-3*01	NA	IGHJ2-1*01	270
15	IGHV4-1*01	NA	IGHJ2-5*01	254
16	IGHV1-5*01	NA	IGHJ2-4*01	249
17	IGHV14-1*01	NA	IGHJ2-2*01	238
18	IGHV1-2*01	NA	IGHJ2-5*01	230
19	IGHV4-8*01	NA	IGHJ2-4*01	230
20	IGHV13-2*01	NA	IGHJ2-1*01	225
21	IGHV5-5*01	NA	IGHJ2-5*01	223
22	IGHV2-2*01	NA	IGHJ2-1*01	220
23	IGHV5-4*01	NA	IGHJ2-5*01	219
24	IGHV8-3*01	NA	IGHJ2-4*01	212
25	IGHV1-2*01	NA	IGHJ2-2*01	208
26	IGHV2-1*01	NA	IGHJ2-5*01	201
27	IGHV5-4*01	NA	IGHJ2-1*01	199
28	IGHV4-6*01	NA	IGHJ2-5*01	193
29	IGHV1-5*01	NA	IGHJ2-5*01	177
30	IGHV8-3*01	NA	IGHJ2-2*01	175
31	IGHV1-4*01	NA	IGHJ2-1*01	165
32	IGHV4-8*01	NA	IGHJ2-5*01	159
33	IGHV1-5*01	NA	IGHJ2-1*01	155
34	IGHV2-1*01	NA	IGHJ2-4*01	153
35	IGHV2-2*01	NA	IGHJ2-5*01	152
36	IGHV4-6*01	NA	IGHJ2-4*01	137
37	IGHV8-1*01	NA	IGHJ2-4*01	135
38	IGHV1-4*01	NA	IGHJ2-5*01	129
39	IGHV7-1*01	NA	IGHJ2-1*01	128
40	IGHV13-2*01	NA	IGHJ2-5*01	128
41	IGHV5-3*01	NA	IGHJ2-1*01	127
42	IGHV8-3*01	NA	IGHJ2-1*01	126
43	IGHV13-2*01	NA	IGHJ2-4*01	125
44	IGHV7-1*01	NA	IGHJ2-5*01	121
45	IGHV10-1*01	NA	IGHJ2-4*01	115
46	IGHV5-7*01	NA	IGHJ2-1*01	114
47	IGHV7-1*01	NA	IGHJ2-4*01	113
48	IGHV14-1*01	NA	IGHJ2-5*01	109
49	IGHV14-1*01	NA	IGHJ2-1*01	108
50	IGHV6-2*01	NA	IGHJ2-1*01	105
51	IGHV1-4*01	NA	IGHJ2-2*01	99
52	IGHV2-1*01	NA	IGHJ2-2*01	97
53	IGHV2-2*01	NA	IGHJ2-4*01	86
54	IGHV2-2*01	NA	IGHJ2-2*01	85
55	IGHV7-1*01	NA	IGHJ2-2*01	83
56	IGHV1-4*01	NA	IGHJ2-4*01	77
57	IGHV1-5*01	NA	IGHJ2-3*01	72
58	IGHV1-3*01	NA	IGHJ2-3*01	69
59	IGHV5-5*01	NA	IGHJ2-4*01	66
60	IGHV5-4*01	NA	IGHJ2-4*01	61
61	IGHV11-2*01	NA	IGHJ2-1*01	61
62	IGHV5-7*01	NA	IGHJ2-4*01	61
63	IGHV8-3*01	NA	IGHJ2-3*01	60
64	IGHV4-9*01	NA	IGHJ2-1*01	59
65	IGHV8-1*01	NA	IGHJ2-5*01	58
66	IGHV4-1*01	NA	IGHJ2-3*01	55
67	IGHV8-4*01	NA	IGHJ2-2*01	54
68	IGHV14-1*01	NA	IGHJ2-3*01	53
69	IGHV10-1*01	NA	IGHJ2-1*01	53
70	IGHV11-2*01	NA	IGHJ2-4*01	52
71	IGHV4-2*01	NA	IGHJ2-1*01	51
72	IGHV11-2*01	NA	IGHJ2-5*01	51
73	IGHV8-4*01	NA	IGHJ2-1*01	50
74	IGHV8-1*01	NA	IGHJ2-2*01	45
75	IGHV5-7*01	NA	IGHJ2-5*01	44
76	IGHV1-3*01	NA	IGHJ2-5*01	44
77	IGHV11-2*01	NA	IGHJ2-2*01	38
78	IGHV4-6*01	NA	IGHJ2-3*01	37
79	IGHV4-9*01	NA	IGHJ2-4*01	37
