	vj_ins_len
0	35
1	444
2	194
3	830
4	834
5	998
6	2597
7	1299
8	2449
9	1191
10	2230
11	1603
12	923
13	1141
14	357
15	266
16	90
17	64
18	48
19	10
20	10
21	6
23	6
52	1
