	v	d	j	frequency
111	IGHV8-3*01	NA	IGHJ2-3*01	10
112	IGHV11-2*01	NA	IGHJ2-5*01	9
113	IGHV5-5*01	NA	IGHJ2-4*01	8
114	IGHV6-1*01	NA	IGHJ2-4*01	8
115	IGHV4-2*01	NA	IGHJ2-1*01	8
116	IGHV4-5*01	NA	IGHJ2-5*01	8
117	IGHV4-8*01	IGHD2-5*01	IGHJ2-2*01	7
118	IGHV9-2*01	NA	IGHJ2-5*01	7
119	IGHV8-1*01	NA	IGHJ2-1*01	7
120	IGHV8-4*01	NA	IGHJ2-5*01	6
121	IGHV5-2*01	NA	IGHJ2-5*01	6
122	IGHV6-1*01	NA	IGHJ2-1*01	6
123	IGHV9-4*01	NA	IGHJ2-4*01	5
124	IGHV6-2*01	NA	IGHJ2-2*01	5
125	IGHV7-1*01	IGHD2-5*01	IGHJ2-1*01	4
126	IGHV6-2*01	NA	IGHJ2-5*01	4
127	IGHV4-8*01	NA	IGHJ2-3*01	4
128	IGHV1-2*01	IGHD2-4*01	IGHJ2-1*01	4
129	IGHV4-6*01	IGHD2-5*01	IGHJ2-4*01	4
130	IGHV4-1*01	IGHD2-5*01	IGHJ2-2*01	3
131	IGHV5-8*01	NA	IGHJ2-5*01	3
132	IGHV1-3*01	IGHD2-5*01	IGHJ2-1*01	3
133	IGHV3-2*01	NA	IGHJ2-5*01	3
134	IGHV4-5*01	NA	IGHJ2-4*01	3
135	IGHV1-5*01	IGHD2-4*01	IGHJ2-1*01	3
136	IGHV4-3*01	NA	IGHJ2-3*01	2
137	IGHV11-1*01	NA	IGHJ2-2*01	2
138	IGHV9-2*01	NA	IGHJ2-4*01	2
139	IGHV1-3*01	IGHD2-5*01	IGHJ2-5*01	2
140	IGHV5-2*01	NA	IGHJ2-2*01	2
141	IGHV5-1*01	IGHD2-5*01	IGHJ2-5*01	2
142	IGHV4-2*01	NA	IGHJ2-2*01	2
143	IGHV4-2*01	NA	IGHJ2-4*01	2
144	IGHV5-2*01	NA	IGHJ2-4*01	2
145	IGHV2-1*01	NA	IGHJ2-3*01	2
146	IGHV4-9*01	NA	IGHJ2-5*01	2
147	IGHV5-3*01	NA	IGHJ2-5*01	2
148	IGHV2-1*01	IGHD2-5*01	IGHJ2-1*01	2
149	IGHV9-3*01	NA	IGHJ2-4*01	2
150	IGHV4-3*01	IGHD2-5*01	IGHJ2-1*01	2
151	IGHV5-3*01	NA	IGHJ2-2*01	2
152	IGHV11-2*01	IGHD2-5*01	IGHJ2-1*01	2
153	IGHV1-5*01	IGHD2-5*01	IGHJ2-1*01	1
154	IGHV4-3*01	IGHD2-5*01	IGHJ2-4*01	1
155	IGHV14-1*01	IGHD2-4*01	IGHJ2-1*01	1
156	IGHV5-7*01	IGHD2-5*01	IGHJ2-1*01	1
157	IGHV2-3*01	NA	IGHJ2-1*01	1
158	IGHV10-1*01	NA	IGHJ2-2*01	1
159	IGHV7-1*01	IGHD2-5*01	IGHJ2-2*01	1
160	IGHV7-1*01	IGHD2-2*01	IGHJ2-1*01	1
161	IGHV7-1*01	IGHD2-5*01	IGHJ2-3*01	1
162	IGHV8-4*01	NA	IGHJ2-3*01	1
163	IGHV2-2*01	IGHD2-4*01	IGHJ2-1*01	1
164	IGHV4-7*01	NA	IGHJ2-2*01	1
165	IGHV5-3*01	IGHD2-4*01	IGHJ2-1*01	1
166	IGHV4-5*01	NA	IGHJ2-3*01	1
167	IGHV5-3*01	NA	IGHJ2-4*01	1
168	IGHV8-1*01	IGHD2-5*01	IGHJ2-1*01	1
169	IGHV9-3*01	NA	IGHJ2-1*01	1
170	IGHV7-1*01	IGHD2-5*01	IGHJ2-4*01	1
171	IGHV4-8*01	IGHD1-2*01	IGHJ2-4*01	1
172	IGHV4-6*01	IGHD2-5*01	IGHJ2-1*01	1
