	v
IGHV2-1*01	5591
IGHV1-3*01	5163
IGHV4-3*01	4437
IGHV14-1*01	4072
IGHV4-6*01	3429
IGHV7-1*01	2348
IGHV4-8*01	2288
IGHV8-4*01	1406
IGHV8-3*01	1132
IGHV1-2*01	1086
IGHV13-2*01	1074
IGHV2-2*01	935
IGHV6-2*01	932
IGHV5-5*01	886
IGHV5-1*01	882
IGHV5-4*01	781
IGHV4-1*01	570
IGHV8-2*01	570
IGHV1-5*01	539
IGHV11-2*01	467
IGHV5-2*01	363
IGHV9-2*01	309
IGHV5-3*01	305
IGHV4-5*01	291
IGHV10-1*01	224
IGHV4-9*01	205
IGHV5-8*01	181
IGHV5-7*01	178
IGHV8-1*01	147
IGHV4-2*01	98
IGHV3-2*01	50
IGHV1-4*01	36
IGHV11-1*01	29
IGHV9-4*01	19
IGHV6-1*01	19
IGHV4-7*01	3
IGHV2-3*01	2
IGHV9-1*01	1
