	nucl_len
12.0	1
14.0	1
16.0	1
17.0	1
18.0	11
19.0	2
21.0	32
22.0	4
23.0	20
24.0	1093
25.0	10
26.0	54
27.0	3592
28.0	50
29.0	280
30.0	14398
31.0	134
32.0	305
33.0	10587
34.0	100
35.0	120
36.0	3030
37.0	63
38.0	96
39.0	1528
40.0	38
41.0	19
42.0	119
43.0	1
44.0	7
45.0	2295
46.0	65
47.0	2
