	v_del_len
0	8834
1	5618
2	4450
3	3283
4	3476
5	2916
6	298
7	319
8	53
9	5
10	31
11	1
12	5
13	36
15	2
16	1
20	2
21	2
22	1
24	1
26	5
27	7
46	1
75	1
