	nucl_len
14.0	4
16.0	1
17.0	4
18.0	11
19.0	1
20.0	6
21.0	206
22.0	3
23.0	33
24.0	308
25.0	3
26.0	81
27.0	1250
28.0	13
29.0	243
30.0	14834
31.0	50
32.0	206
33.0	2583
34.0	17
35.0	89
36.0	923
37.0	11
38.0	19
39.0	355
40.0	4
42.0	18
