	v_del_len
0	12709
1	5772
2	4725
3	9548
4	4540
5	3194
6	311
7	118
8	70
9	16
10	4
11	3
12	7
16	2
17	2
18	5
19	1
20	1
24	10
26	2
27	1
31	6
172	1
