	v
IGHV1-2*01	4665
IGHV1-3*01	4296
IGHV4-8*01	3155
IGHV4-1*01	2987
IGHV2-1*01	1759
IGHV14-1*01	1534
IGHV5-5*01	1438
IGHV1-5*01	1397
IGHV1-4*01	1110
IGHV4-6*01	1086
IGHV13-2*01	760
IGHV7-1*01	696
IGHV8-3*01	663
IGHV5-7*01	535
IGHV4-9*01	529
IGHV5-4*01	508
IGHV2-2*01	427
IGHV11-2*01	319
IGHV8-1*01	315
IGHV10-1*01	255
IGHV5-3*01	217
IGHV8-4*01	181
IGHV4-2*01	170
IGHV6-2*01	132
IGHV8-2*01	86
IGHV4-7*01	41
IGHV11-1*01	27
IGHV3-2*01	24
IGHV4-5*01	10
IGHV9-3*01	7
IGHV2-3*01	7
IGHV6-1*01	6
IGHV9-1*01	3
IGHV5-2*01	2
IGHV9-4*01	1
