	v	d	j	frequency
0	IGHV2-1*01	NA	IGHJ2-1*01	4790
1	IGHV1-3*01	NA	IGHJ2-1*01	3036
2	IGHV4-3*01	NA	IGHJ2-4*01	2287
3	IGHV1-3*01	NA	IGHJ2-5*01	1793
4	IGHV14-1*01	NA	IGHJ2-1*01	1494
5	IGHV4-6*01	NA	IGHJ2-2*01	1357
6	IGHV7-1*01	NA	IGHJ2-4*01	1298
7	IGHV4-8*01	NA	IGHJ2-5*01	1292
8	IGHV14-1*01	NA	IGHJ2-2*01	1188
9	IGHV14-1*01	NA	IGHJ2-4*01	1036
10	IGHV4-6*01	NA	IGHJ2-1*01	945
11	IGHV4-3*01	NA	IGHJ2-1*01	923
12	IGHV6-2*01	NA	IGHJ2-1*01	797
13	IGHV5-4*01	NA	IGHJ2-1*01	666
14	IGHV4-3*01	NA	IGHJ2-2*01	585
15	IGHV8-4*01	NA	IGHJ2-2*01	568
16	IGHV4-6*01	NA	IGHJ2-4*01	563
17	IGHV4-3*01	NA	IGHJ2-5*01	534
18	IGHV13-2*01	NA	IGHJ2-1*01	487
19	IGHV5-5*01	NA	IGHJ2-1*01	452
20	IGHV4-6*01	NA	IGHJ2-5*01	431
21	IGHV8-3*01	NA	IGHJ2-2*01	429
22	IGHV4-8*01	NA	IGHJ2-1*01	428
23	IGHV1-2*01	NA	IGHJ2-2*01	425
24	IGHV2-2*01	NA	IGHJ2-1*01	417
25	IGHV7-1*01	NA	IGHJ2-1*01	394
26	IGHV2-1*01	NA	IGHJ2-4*01	382
27	IGHV8-3*01	NA	IGHJ2-1*01	364
28	IGHV1-2*01	NA	IGHJ2-1*01	363
29	IGHV8-4*01	NA	IGHJ2-3*01	339
30	IGHV7-1*01	NA	IGHJ2-2*01	305
31	IGHV5-1*01	NA	IGHJ2-2*01	297
32	IGHV4-8*01	NA	IGHJ2-2*01	292
33	IGHV8-4*01	NA	IGHJ2-1*01	283
34	IGHV5-1*01	NA	IGHJ2-1*01	261
35	IGHV8-2*01	NA	IGHJ2-2*01	242
36	IGHV8-3*01	NA	IGHJ2-4*01	239
37	IGHV13-2*01	NA	IGHJ2-4*01	239
