	vj_ins_len
0	2634
1	1578
2	427
3	1611
4	1367
5	1556
6	3230
7	4263
8	3220
9	6223
10	7308
11	2519
12	8336
13	1804
14	902
15	467
16	277
17	1140
18	41
19	31
20	8
21	4
22	3
