	vj_ins_len
0	161
1	637
2	387
3	3570
4	2923
5	1839
6	2798
7	2268
8	2898
9	2069
10	4410
11	1276
12	1765
13	1198
14	504
15	280
16	212
17	110
18	11
19	14
20	16
22	1
28	1
