	d	j	v	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency
42	IGHD2-5*01	IGHJ2-4*01	IGHV1-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
43	NA	IGHJ2-1*01	IGHV1-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
44	NA	IGHJ2-2*01	IGHV1-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
45	NA	IGHJ2-3*01	IGHV1-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
46	NA	IGHJ2-4*01	IGHV1-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
47	NA	IGHJ2-5*01	IGHV1-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
48	IGHD2-2*01	IGHJ2-5*01	IGHV1-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
49	IGHD2-3*01	IGHJ2-1*01	IGHV1-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
50	IGHD2-4*01	IGHJ2-1*01	IGHV1-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
51	IGHD2-4*01	IGHJ2-2*01	IGHV1-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52	IGHD2-4*01	IGHJ2-4*01	IGHV1-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
53	IGHD2-4*01	IGHJ2-5*01	IGHV1-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
54	IGHD2-5*01	IGHJ2-1*01	IGHV1-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
55	IGHD2-5*01	IGHJ2-2*01	IGHV1-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
56	IGHD2-5*01	IGHJ2-3*01	IGHV1-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
57	IGHD2-5*01	IGHJ2-4*01	IGHV1-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
58	IGHD2-5*01	IGHJ2-5*01	IGHV1-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
