	d	j	v	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency
190	NA	IGHJ2-2*01	IGHV4-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
191	NA	IGHJ2-3*01	IGHV4-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
192	NA	IGHJ2-4*01	IGHV4-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
193	NA	IGHJ2-5*01	IGHV4-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
194	IGHD2-4*01	IGHJ2-1*01	IGHV4-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
195	IGHD2-4*01	IGHJ2-5*01	IGHV4-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
196	IGHD2-5*01	IGHJ2-1*01	IGHV4-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
197	IGHD2-5*01	IGHJ2-4*01	IGHV4-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
198	NA	IGHJ2-1*01	IGHV4-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
199	NA	IGHJ2-2*01	IGHV4-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
200	NA	IGHJ2-4*01	IGHV4-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
201	NA	IGHJ2-5*01	IGHV4-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
202	IGHD2-1*01	IGHJ2-1*01	IGHV4-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
203	IGHD2-1*01	IGHJ2-4*01	IGHV4-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
204	IGHD2-2*01	IGHJ2-1*01	IGHV4-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
205	IGHD2-4*01	IGHJ2-1*01	IGHV4-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
206	IGHD2-4*01	IGHJ2-2*01	IGHV4-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
207	IGHD2-4*01	IGHJ2-5*01	IGHV4-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
208	IGHD2-5*01	IGHJ2-1*01	IGHV4-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
209	IGHD2-5*01	IGHJ2-2*01	IGHV4-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
210	IGHD2-5*01	IGHJ2-4*01	IGHV4-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
211	IGHD2-5*01	IGHJ2-5*01	IGHV4-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
212	NA	IGHJ1-1*01	IGHV4-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
213	NA	IGHJ2-1*01	IGHV4-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
214	NA	IGHJ2-2*01	IGHV4-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
215	NA	IGHJ2-3*01	IGHV4-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
216	NA	IGHJ2-4*01	IGHV4-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
217	NA	IGHJ2-5*01	IGHV4-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
218	IGHD2-5*01	IGHJ2-1*01	IGHV4-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
219	IGHD2-5*01	IGHJ2-2*01	IGHV4-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
220	IGHD2-5*01	IGHJ2-4*01	IGHV4-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
221	IGHD2-5*01	IGHJ2-5*01	IGHV4-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
222	NA	IGHJ1-2*01	IGHV4-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
223	NA	IGHJ2-1*01	IGHV4-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
224	NA	IGHJ2-2*01	IGHV4-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
225	NA	IGHJ2-3*01	IGHV4-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
226	NA	IGHJ2-4*01	IGHV4-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
227	NA	IGHJ2-5*01	IGHV4-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
228	IGHD1-2*01	IGHJ2-5*01	IGHV4-6*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
229	IGHD2-1*01	IGHJ2-5*01	IGHV4-6*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
230	IGHD2-4*01	IGHJ2-1*01	IGHV4-6*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
231	IGHD2-4*01	IGHJ2-5*01	IGHV4-6*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
232	IGHD2-5*01	IGHJ2-1*01	IGHV4-6*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
233	IGHD2-5*01	IGHJ2-4*01	IGHV4-6*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
234	IGHD2-5*01	IGHJ2-5*01	IGHV4-6*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
235	NA	IGHJ2-1*01	IGHV4-6*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
236	NA	IGHJ2-2*01	IGHV4-6*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
237	NA	IGHJ2-3*01	IGHV4-6*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
238	NA	IGHJ2-4*01	IGHV4-6*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
239	NA	IGHJ2-5*01	IGHV4-6*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
240	IGHD2-5*01	IGHJ2-2*01	IGHV4-7*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
241	NA	IGHJ2-1*01	IGHV4-7*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
242	NA	IGHJ2-2*01	IGHV4-7*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
243	NA	IGHJ2-3*01	IGHV4-7*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
244	NA	IGHJ2-4*01	IGHV4-7*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
245	NA	IGHJ2-5*01	IGHV4-7*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
246	IGHD1-2*01	IGHJ2-4*01	IGHV4-8*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
247	IGHD2-1*01	IGHJ2-2*01	IGHV4-8*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
248	IGHD2-2*01	IGHJ2-4*01	IGHV4-8*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
249	IGHD2-2*01	IGHJ2-5*01	IGHV4-8*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
250	IGHD2-4*01	IGHJ2-1*01	IGHV4-8*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
251	IGHD2-4*01	IGHJ2-2*01	IGHV4-8*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
252	IGHD2-4*01	IGHJ2-4*01	IGHV4-8*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
253	IGHD2-4*01	IGHJ2-5*01	IGHV4-8*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
254	IGHD2-5*01	IGHJ2-1*01	IGHV4-8*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
255	IGHD2-5*01	IGHJ2-2*01	IGHV4-8*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
256	IGHD2-5*01	IGHJ2-3*01	IGHV4-8*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
257	IGHD2-5*01	IGHJ2-4*01	IGHV4-8*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
258	IGHD2-5*01	IGHJ2-5*01	IGHV4-8*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
259	NA	IGHJ1-1*01	IGHV4-8*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
260	NA	IGHJ1-2*01	IGHV4-8*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
261	NA	IGHJ2-1*01	IGHV4-8*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
262	NA	IGHJ2-2*01	IGHV4-8*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
263	NA	IGHJ2-3*01	IGHV4-8*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
264	NA	IGHJ2-4*01	IGHV4-8*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
265	NA	IGHJ2-5*01	IGHV4-8*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
266	IGHD2-5*01	IGHJ2-1*01	IGHV4-9*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
267	IGHD2-5*01	IGHJ2-4*01	IGHV4-9*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
268	NA	IGHJ2-1*01	IGHV4-9*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
269	NA	IGHJ2-2*01	IGHV4-9*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
270	NA	IGHJ2-3*01	IGHV4-9*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
271	NA	IGHJ2-4*01	IGHV4-9*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
272	NA	IGHJ2-5*01	IGHV4-9*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
273	IGHD2-1*01	IGHJ2-1*01	IGHV5-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
274	IGHD2-2*01	IGHJ2-1*01	IGHV5-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
275	IGHD2-4*01	IGHJ2-1*01	IGHV5-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
276	IGHD2-5*01	IGHJ2-1*01	IGHV5-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
277	IGHD2-5*01	IGHJ2-4*01	IGHV5-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
278	IGHD2-5*01	IGHJ2-5*01	IGHV5-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
279	NA	IGHJ2-1*01	IGHV5-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
280	NA	IGHJ2-2*01	IGHV5-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
281	NA	IGHJ2-3*01	IGHV5-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
282	NA	IGHJ2-4*01	IGHV5-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
283	NA	IGHJ2-5*01	IGHV5-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
284	IGHD2-1*01	IGHJ2-4*01	IGHV5-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
285	IGHD2-4*01	IGHJ2-1*01	IGHV5-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
286	IGHD2-5*01	IGHJ2-1*01	IGHV5-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
287	IGHD2-5*01	IGHJ2-4*01	IGHV5-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
288	IGHD2-5*01	IGHJ2-5*01	IGHV5-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
289	NA	IGHJ2-1*01	IGHV5-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
290	NA	IGHJ2-2*01	IGHV5-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
291	NA	IGHJ2-3*01	IGHV5-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
292	NA	IGHJ2-4*01	IGHV5-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
293	NA	IGHJ2-5*01	IGHV5-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
294	IGHD2-4*01	IGHJ2-1*01	IGHV5-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
295	IGHD2-5*01	IGHJ2-1*01	IGHV5-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
296	IGHD2-5*01	IGHJ2-5*01	IGHV5-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
297	NA	IGHJ2-1*01	IGHV5-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
298	NA	IGHJ2-2*01	IGHV5-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
299	NA	IGHJ2-4*01	IGHV5-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
300	NA	IGHJ2-5*01	IGHV5-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
301	IGHD2-5*01	IGHJ2-1*01	IGHV5-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
302	NA	IGHJ2-1*01	IGHV5-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
303	NA	IGHJ2-2*01	IGHV5-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
304	NA	IGHJ2-3*01	IGHV5-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
305	NA	IGHJ2-4*01	IGHV5-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
306	NA	IGHJ2-5*01	IGHV5-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
307	IGHD2-4*01	IGHJ2-1*01	IGHV5-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
308	IGHD2-5*01	IGHJ2-1*01	IGHV5-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
309	IGHD2-5*01	IGHJ2-4*01	IGHV5-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
310	NA	IGHJ2-1*01	IGHV5-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
311	NA	IGHJ2-2*01	IGHV5-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
312	NA	IGHJ2-4*01	IGHV5-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
313	NA	IGHJ2-5*01	IGHV5-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
314	IGHD2-1*01	IGHJ2-1*01	IGHV5-7*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
315	IGHD2-2*01	IGHJ2-1*01	IGHV5-7*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
316	IGHD2-4*01	IGHJ2-1*01	IGHV5-7*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
317	IGHD2-4*01	IGHJ2-5*01	IGHV5-7*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
318	IGHD2-5*01	IGHJ2-1*01	IGHV5-7*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
319	IGHD2-5*01	IGHJ2-2*01	IGHV5-7*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
320	IGHD2-5*01	IGHJ2-4*01	IGHV5-7*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
321	NA	IGHJ2-1*01	IGHV5-7*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
322	NA	IGHJ2-2*01	IGHV5-7*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
323	NA	IGHJ2-3*01	IGHV5-7*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
324	NA	IGHJ2-4*01	IGHV5-7*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
325	NA	IGHJ2-5*01	IGHV5-7*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
326	IGHD2-4*01	IGHJ2-1*01	IGHV5-8*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
327	IGHD2-5*01	IGHJ2-1*01	IGHV5-8*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
328	NA	IGHJ2-1*01	IGHV5-8*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
329	NA	IGHJ2-2*01	IGHV5-8*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
330	NA	IGHJ2-4*01	IGHV5-8*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
331	NA	IGHJ2-5*01	IGHV5-8*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
332	IGHD2-4*01	IGHJ2-1*01	IGHV6-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
333	IGHD2-4*01	IGHJ2-4*01	IGHV6-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
334	NA	IGHJ2-1*01	IGHV6-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
335	NA	IGHJ2-2*01	IGHV6-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
336	NA	IGHJ2-4*01	IGHV6-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
337	NA	IGHJ2-5*01	IGHV6-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
338	IGHD2-4*01	IGHJ2-1*01	IGHV6-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
339	IGHD2-5*01	IGHJ2-1*01	IGHV6-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
340	IGHD2-5*01	IGHJ2-4*01	IGHV6-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
341	IGHD2-5*01	IGHJ2-5*01	IGHV6-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
342	NA	IGHJ1-1*01	IGHV6-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
343	NA	IGHJ1-2*01	IGHV6-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
344	NA	IGHJ2-1*01	IGHV6-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
345	NA	IGHJ2-2*01	IGHV6-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
346	NA	IGHJ2-3*01	IGHV6-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
347	NA	IGHJ2-4*01	IGHV6-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
348	NA	IGHJ2-5*01	IGHV6-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
349	IGHD1-2*01	IGHJ2-1*01	IGHV7-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
350	IGHD2-1*01	IGHJ2-2*01	IGHV7-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
351	IGHD2-2*01	IGHJ2-1*01	IGHV7-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
352	IGHD2-2*01	IGHJ2-2*01	IGHV7-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
353	IGHD2-2*01	IGHJ2-5*01	IGHV7-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
354	IGHD2-3*01	IGHJ2-2*01	IGHV7-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
355	IGHD2-4*01	IGHJ2-1*01	IGHV7-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
356	IGHD2-4*01	IGHJ2-3*01	IGHV7-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
357	IGHD2-5*01	IGHJ2-1*01	IGHV7-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
358	IGHD2-5*01	IGHJ2-2*01	IGHV7-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
359	IGHD2-5*01	IGHJ2-3*01	IGHV7-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
360	IGHD2-5*01	IGHJ2-4*01	IGHV7-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
361	IGHD2-5*01	IGHJ2-5*01	IGHV7-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
362	NA	IGHJ2-1*01	IGHV7-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
363	NA	IGHJ2-2*01	IGHV7-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
364	NA	IGHJ2-3*01	IGHV7-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
365	NA	IGHJ2-4*01	IGHV7-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
366	NA	IGHJ2-5*01	IGHV7-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
367	IGHD2-5*01	IGHJ2-1*01	IGHV8-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
368	IGHD2-5*01	IGHJ2-2*01	IGHV8-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
369	IGHD2-5*01	IGHJ2-4*01	IGHV8-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
370	NA	IGHJ2-1*01	IGHV8-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
371	NA	IGHJ2-2*01	IGHV8-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
372	NA	IGHJ2-3*01	IGHV8-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
373	NA	IGHJ2-4*01	IGHV8-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
374	NA	IGHJ2-5*01	IGHV8-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
375	IGHD2-2*01	IGHJ2-2*01	IGHV8-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
376	IGHD2-4*01	IGHJ2-5*01	IGHV8-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
377	IGHD2-5*01	IGHJ2-1*01	IGHV8-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
378	IGHD2-5*01	IGHJ2-4*01	IGHV8-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
379	NA	IGHJ1-2*01	IGHV8-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
380	NA	IGHJ2-1*01	IGHV8-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
381	NA	IGHJ2-2*01	IGHV8-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
382	NA	IGHJ2-3*01	IGHV8-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
383	NA	IGHJ2-4*01	IGHV8-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
384	NA	IGHJ2-5*01	IGHV8-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
