	SRR017328	SRR017329	SRR017330	SRR017331	SRR017332	SRR017333	SRR017334	SRR017335	SRR017336	SRR017337	SRR017338	SRR017339	SRR017340	SRR017341
4	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA
8	NA	NA	NA	NA	NA	NA	2.0	NA	NA	NA	NA	NA	1.0	NA
9	1.0	1.0	1.0	1.0	NA	NA	2.0	3.0	NA	1.0	1.0	1.0	NA	2.0
10	4.0	4.0	4.0	7.0	6.0	1.0	3.0	51.0	1.0	15.0	30.0	5.0	4.0	5.0
11	2.0	7.0	2.0	7.0	2.0	NA	13.0	5.0	3.0	3.0	2.0	5.0	7.0	9.0
12	2.0	1.0	NA	3.0	3.0	NA	5.0	NA	2.0	3.0	NA	3.0	NA	2.0
13	NA	1.0	NA	3.0	12.0	NA	NA	NA	4.0	1.0	NA	1.0	NA	NA
