	vj_ins_len
0	860
1	46
2	5133
3	1735
4	960
5	1415
6	20342
7	3114
8	10999
9	2048
10	6647
11	2177
12	1676
13	626
14	2641
15	111
16	298
17	300
18	10
19	3
20	3
22	1
23	2
