	v
IGHV2-1*01	11817
IGHV4-1*01	7302
IGHV4-3*01	2378
IGHV4-8*01	1219
IGHV5-1*01	870
IGHV4-6*01	846
IGHV1-2*01	691
IGHV7-1*01	650
IGHV13-2*01	585
IGHV5-2*01	538
IGHV2-2*01	505
IGHV1-5*01	301
IGHV8-4*01	290
IGHV8-3*01	284
IGHV8-2*01	224
IGHV1-4*01	178
IGHV5-5*01	156
IGHV5-4*01	120
IGHV14-1*01	113
IGHV1-3*01	113
IGHV4-5*01	95
IGHV5-7*01	95
IGHV9-2*01	71
IGHV10-1*01	68
IGHV6-2*01	67
IGHV8-1*01	51
IGHV4-9*01	51
IGHV5-3*01	44
IGHV4-2*01	29
IGHV5-8*01	19
IGHV11-2*01	9
IGHV11-1*01	9
IGHV3-2*01	2
IGHV9-4*01	1
IGHV6-1*01	1
