	v
IGHV4-8*01	9164
IGHV4-1*01	5831
IGHV4-3*01	5325
IGHV1-3*01	4695
IGHV5-2*01	1360
IGHV1-5*01	1267
IGHV4-6*01	1235
IGHV2-1*01	974
IGHV1-2*01	954
IGHV13-2*01	741
IGHV5-1*01	688
IGHV7-1*01	502
IGHV5-4*01	499
IGHV2-2*01	446
IGHV5-5*01	433
IGHV1-4*01	303
IGHV8-3*01	263
IGHV5-7*01	227
IGHV8-4*01	224
IGHV8-2*01	183
IGHV4-9*01	172
IGHV8-1*01	170
IGHV14-1*01	169
IGHV10-1*01	135
IGHV5-8*01	98
IGHV9-2*01	96
IGHV5-3*01	87
IGHV4-2*01	76
IGHV6-2*01	74
IGHV4-5*01	60
IGHV11-2*01	52
IGHV3-2*01	35
IGHV6-1*01	16
IGHV11-1*01	15
IGHV9-4*01	3
IGHV9-3*01	1
