	v	d	j	frequency
0	IGHV1-5*01	NA	IGHJ2-1*01	6175
1	IGHV1-3*01	NA	IGHJ2-1*01	4801
2	IGHV11-2*01	NA	IGHJ2-1*01	4087
3	IGHV4-8*01	NA	IGHJ2-5*01	2415
4	IGHV4-1*01	NA	IGHJ2-4*01	1767
5	IGHV2-1*01	NA	IGHJ2-1*01	1498
6	IGHV4-6*01	NA	IGHJ2-1*01	1409
7	IGHV8-1*01	NA	IGHJ2-1*01	1375
8	IGHV4-8*01	NA	IGHJ2-1*01	1169
9	IGHV4-3*01	NA	IGHJ2-1*01	1164
10	IGHV7-1*01	NA	IGHJ2-4*01	985
11	IGHV13-2*01	IGHD2-5*01	IGHJ2-1*01	954
12	IGHV14-1*01	NA	IGHJ2-4*01	894
13	IGHV1-2*01	NA	IGHJ2-1*01	831
14	IGHV4-8*01	NA	IGHJ2-2*01	761
15	IGHV4-6*01	NA	IGHJ2-2*01	693
16	IGHV8-3*01	NA	IGHJ2-2*01	630
17	IGHV14-1*01	NA	IGHJ2-2*01	591
18	IGHV14-1*01	NA	IGHJ2-1*01	555
19	IGHV2-2*01	NA	IGHJ2-1*01	540
20	IGHV4-3*01	NA	IGHJ2-4*01	503
21	IGHV5-1*01	NA	IGHJ2-1*01	487
22	IGHV1-3*01	NA	IGHJ2-4*01	480
23	IGHV4-5*01	NA	IGHJ2-1*01	467
24	IGHV13-2*01	NA	IGHJ2-1*01	467
25	IGHV5-5*01	NA	IGHJ2-1*01	436
26	IGHV4-6*01	NA	IGHJ2-5*01	379
27	IGHV4-6*01	NA	IGHJ2-4*01	357
28	IGHV4-3*01	NA	IGHJ2-5*01	349
29	IGHV7-1*01	NA	IGHJ2-1*01	335
30	IGHV4-1*01	NA	IGHJ2-1*01	334
31	IGHV1-5*01	NA	IGHJ2-2*01	332
32	IGHV6-2*01	NA	IGHJ2-1*01	331
33	IGHV8-3*01	NA	IGHJ2-1*01	311
34	IGHV5-2*01	NA	IGHJ2-4*01	295
35	IGHV4-3*01	NA	IGHJ2-2*01	291
36	IGHV8-2*01	NA	IGHJ2-1*01	291
37	IGHV5-1*01	NA	IGHJ2-4*01	257
38	IGHV2-1*01	NA	IGHJ2-4*01	249
39	IGHV7-1*01	NA	IGHJ2-2*01	248
40	IGHV4-2*01	NA	IGHJ2-1*01	245
41	IGHV8-4*01	NA	IGHJ2-1*01	243
42	IGHV2-1*01	NA	IGHJ2-2*01	230
43	IGHV8-4*01	NA	IGHJ2-4*01	229
44	IGHV2-2*01	NA	IGHJ2-4*01	222
45	IGHV5-5*01	NA	IGHJ2-5*01	219
