	vj_ins_len
0	85
1	136
2	237
3	654
4	962
5	943
6	2343
7	1866
8	5398
9	1600
10	7083
11	6711
12	1434
13	755
14	495
15	5518
16	202
17	76
18	32
19	24
20	11
22	1
26	7
