	v	d	j	frequency
0	IGHV4-8*01	NA	IGHJ2-2*01	5686
1	IGHV4-1*01	NA	IGHJ2-1*01	5308
2	IGHV1-3*01	NA	IGHJ2-1*01	4510
3	IGHV4-3*01	NA	IGHJ2-2*01	3989
4	IGHV4-8*01	NA	IGHJ2-4*01	2131
5	IGHV5-2*01	NA	IGHJ2-2*01	890
6	IGHV4-8*01	NA	IGHJ2-1*01	826
7	IGHV1-5*01	NA	IGHJ2-4*01	604
8	IGHV4-3*01	NA	IGHJ2-1*01	595
9	IGHV2-1*01	NA	IGHJ2-1*01	585
10	IGHV4-6*01	NA	IGHJ2-1*01	540
11	IGHV4-3*01	NA	IGHJ2-4*01	424
12	IGHV4-8*01	NA	IGHJ2-5*01	420
13	IGHV1-2*01	NA	IGHJ2-1*01	341
14	IGHV4-6*01	NA	IGHJ2-4*01	338
15	IGHV5-2*01	NA	IGHJ2-3*01	335
16	IGHV5-1*01	NA	IGHJ2-1*01	309
17	IGHV1-2*01	NA	IGHJ2-4*01	303
18	IGHV13-2*01	NA	IGHJ2-1*01	257
19	IGHV13-2*01	NA	IGHJ2-4*01	255
20	IGHV4-3*01	NA	IGHJ2-5*01	254
21	IGHV4-6*01	NA	IGHJ2-5*01	253
22	IGHV5-4*01	NA	IGHJ2-1*01	237
23	IGHV1-5*01	NA	IGHJ2-2*01	233
24	IGHV5-1*01	NA	IGHJ2-4*01	228
25	IGHV5-5*01	NA	IGHJ2-1*01	216
26	IGHV1-5*01	NA	IGHJ2-1*01	211
27	IGHV2-2*01	NA	IGHJ2-1*01	200
28	IGHV4-1*01	NA	IGHJ2-4*01	196
29	IGHV1-2*01	NA	IGHJ2-2*01	172
30	IGHV7-1*01	NA	IGHJ2-4*01	163
31	IGHV7-1*01	NA	IGHJ2-1*01	143
32	IGHV4-1*01	NA	IGHJ2-2*01	141
33	IGHV13-2*01	NA	IGHJ2-5*01	131
34	IGHV2-1*01	NA	IGHJ2-5*01	128
35	IGHV2-1*01	NA	IGHJ2-4*01	127
36	IGHV5-4*01	NA	IGHJ2-4*01	121
37	IGHV4-1*01	NA	IGHJ2-5*01	121
38	IGHV5-4*01	NA	IGHJ2-5*01	118
39	IGHV5-5*01	NA	IGHJ2-5*01	117
40	IGHV2-2*01	NA	IGHJ2-4*01	116
41	IGHV1-5*01	NA	IGHJ2-5*01	114
42	IGHV2-1*01	NA	IGHJ2-2*01	106
43	IGHV1-4*01	NA	IGHJ2-4*01	106
44	IGHV1-2*01	NA	IGHJ2-5*01	105
45	IGHV8-4*01	NA	IGHJ2-1*01	103
46	IGHV13-2*01	NA	IGHJ2-2*01	95
47	IGHV1-3*01	NA	IGHJ2-4*01	94
48	IGHV5-1*01	NA	IGHJ2-2*01	94
49	IGHV5-7*01	NA	IGHJ2-1*01	92
50	IGHV4-6*01	NA	IGHJ2-2*01	91
51	IGHV8-3*01	NA	IGHJ2-4*01	88
52	IGHV8-2*01	NA	IGHJ2-1*01	87
53	IGHV5-5*01	NA	IGHJ2-4*01	85
54	IGHV1-5*01	NA	IGHJ2-3*01	85
55	IGHV5-2*01	NA	IGHJ2-1*01	84
56	IGHV5-8*01	NA	IGHJ2-1*01	84
57	IGHV4-8*01	NA	IGHJ2-3*01	84
58	IGHV8-1*01	NA	IGHJ2-4*01	82
59	IGHV7-1*01	NA	IGHJ2-2*01	82
60	IGHV8-3*01	NA	IGHJ2-2*01	78
61	IGHV4-9*01	NA	IGHJ2-1*01	76
62	IGHV5-7*01	NA	IGHJ2-4*01	71
63	IGHV7-1*01	NA	IGHJ2-5*01	71
64	IGHV2-2*01	NA	IGHJ2-2*01	70
65	IGHV14-1*01	NA	IGHJ2-2*01	67
66	IGHV8-3*01	NA	IGHJ2-1*01	64
67	IGHV1-4*01	NA	IGHJ2-2*01	64
68	IGHV4-1*01	NA	IGHJ2-3*01	60
69	IGHV1-4*01	NA	IGHJ2-1*01	57
70	IGHV10-1*01	NA	IGHJ2-1*01	57
71	IGHV1-4*01	NA	IGHJ2-5*01	56
72	IGHV8-4*01	NA	IGHJ2-4*01	54
