	vj_ins_len
0	95
1	187
2	452
3	753
4	1496
5	1178
6	2233
7	3213
8	2583
9	5277
10	2179
11	1840
12	1197
13	1064
14	464
15	335
16	181
17	105
18	62
19	23
20	3
21	3
22	1
